title,price,location,description,bedrooms,bathrooms,area,propertyType,status,addressId,images
"Spacious House in Bangna 21",27669079,"Pattaya, Thailand","Great investment opportunity",3,4,216,VILLA,AVAILABLE,"ADDRESS_ID_1","https://picsum.photos/800/600?random=21,https://picsum.photos/800/600?random=22,https://picsum.photos/800/600?random=23"
"Contemporary Villa in Nonthaburi 22",6626366,"Phuket, Thailand","Modern design with premium features",3,1,155,VILLA,PENDING,"ADDRESS_ID_2","https://picsum.photos/800/600?random=22,https://picsum.photos/800/600?random=23,https://picsum.photos/800/600?random=24"
"Luxury Condominium in Sukhumvit 23",19625757,"Ayutthaya, Thailand","Peaceful neighborhood with easy access",2,4,75,VILLA,RENTED,"ADDRESS_ID_3","https://picsum.photos/800/600?random=23,https://picsum.photos/800/600?random=24,https://picsum.photos/800/600?random=25"
"Spacious Villa in Lat Phrao 24",36908905,"Hua Hin, Thailand","Prime location with excellent facilities",5,3,182,CONDO,SOLD,"ADDRESS_ID_4","https://picsum.photos/800/600?random=24,https://picsum.photos/800/600?random=25,https://picsum.photos/800/600?random=26"
"Contemporary Apartment in Phrom Phong 25",45546388,"Bangkok, Thailand","Beautiful property with modern amenities",4,3,154,HOUSE,SOLD,"ADDRESS_ID_5","https://picsum.photos/800/600?random=25,https://picsum.photos/800/600?random=26,https://picsum.photos/800/600?random=27"
"Contemporary Villa in Nonthaburi 26",42269849,"Phuket, Thailand","Perfect for families and professionals",5,4,125,APARTMENT,RENTED,"ADDRESS_ID_6","https://picsum.photos/800/600?random=26,https://picsum.photos/800/600?random=27,https://picsum.photos/800/600?random=28"
"Stylish Condo in Thonburi 27",31768022,"Phuket, Thailand","Recently renovated with high-quality finishes",2,1,145,VILLA,PENDING,"ADDRESS_ID_7","https://picsum.photos/800/600?random=27,https://picsum.photos/800/600?random=28,https://picsum.photos/800/600?random=29"
"Cozy Apartment in Victory Monument 28",35043573,"Phuket, Thailand","Spacious and well-maintained property",1,3,50,APARTMENT,AVAILABLE,"ADDRESS_ID_8","https://picsum.photos/800/600?random=28,https://picsum.photos/800/600?random=29,https://picsum.photos/800/600?random=30"
"Stylish Loft in Ekkamai 29",32632210,"Kanchanaburi, Thailand","Modern design with premium features",5,3,118,HOUSE,PENDING,"ADDRESS_ID_9","https://picsum.photos/800/600?random=29,https://picsum.photos/800/600?random=30,https://picsum.photos/800/600?random=31"
"Luxury Apartment in Ratchada 30",5120637,"Ayutthaya, Thailand","Modern design with premium features",3,1,92,APARTMENT,PENDING,"ADDRESS_ID_10","https://picsum.photos/800/600?random=30,https://picsum.photos/800/600?random=31,https://picsum.photos/800/600?random=32"
"Luxury Penthouse in Pathumwan 31",11913972,"Chiang Mai, Thailand","Perfect for families and professionals",4,1,107,APARTMENT,PENDING,"ADDRESS_ID_11","https://picsum.photos/800/600?random=31,https://picsum.photos/800/600?random=32,https://picsum.photos/800/600?random=33"
"Cozy Studio in Asoke 32",11963293,"Phuket, Thailand","Convenient location near public transport",3,3,126,VILLA,PENDING,"ADDRESS_ID_12","https://picsum.photos/800/600?random=32,https://picsum.photos/800/600?random=33,https://picsum.photos/800/600?random=34"
"Elegant Villa in Thonglor 33",38830665,"Ayutthaya, Thailand","Luxury property with stunning views",2,2,40,APARTMENT,SOLD,"ADDRESS_ID_13","https://picsum.photos/800/600?random=33,https://picsum.photos/800/600?random=34,https://picsum.photos/800/600?random=35"
"Stylish Condo in Thonburi 34",26354302,"Bangkok, Thailand","Perfect for families and professionals",5,3,78,HOUSE,SOLD,"ADDRESS_ID_14","https://picsum.photos/800/600?random=34,https://picsum.photos/800/600?random=35,https://picsum.photos/800/600?random=36"
"Modern Condo in On Nut 35",28834412,"Pattaya, Thailand","Modern design with premium features",1,3,151,HOUSE,AVAILABLE,"ADDRESS_ID_15","https://picsum.photos/800/600?random=35,https://picsum.photos/800/600?random=36,https://picsum.photos/800/600?random=37"
"Luxury Condominium in Sukhumvit 36",15801803,"Pattaya, Thailand","Prime location with excellent facilities",5,3,153,VILLA,AVAILABLE,"ADDRESS_ID_16","https://picsum.photos/800/600?random=36,https://picsum.photos/800/600?random=37,https://picsum.photos/800/600?random=38"
"Cozy Apartment in Victory Monument 37",19410173,"Pattaya, Thailand","Perfect for families and professionals",2,2,152,TOWNHOUSE,AVAILABLE,"ADDRESS_ID_17","https://picsum.photos/800/600?random=37,https://picsum.photos/800/600?random=38,https://picsum.photos/800/600?random=39"
"Luxury Condominium in Sukhumvit 38",8762473,"Kanchanaburi, Thailand","Great investment opportunity",1,2,116,HOUSE,SOLD,"ADDRESS_ID_18","https://picsum.photos/800/600?random=38,https://picsum.photos/800/600?random=39,https://picsum.photos/800/600?random=40"
"Contemporary Apartment in Phrom Phong 39",27147683,"Krabi, Thailand","Recently renovated with high-quality finishes",5,2,88,CONDO,PENDING,"ADDRESS_ID_19","https://picsum.photos/800/600?random=39,https://picsum.photos/800/600?random=40,https://picsum.photos/800/600?random=41"
"Modern Apartment in Silom 40",37874510,"Bangkok, Thailand","Luxury property with stunning views",4,2,38,TOWNHOUSE,PENDING,"ADDRESS_ID_20","https://picsum.photos/800/600?random=40,https://picsum.photos/800/600?random=41,https://picsum.photos/800/600?random=42"
"Luxury Apartment in Ratchada 41",49349111,"Bangkok, Thailand","Prime location with excellent facilities",4,3,60,HOUSE,PENDING,"ADDRESS_ID_1","https://picsum.photos/800/600?random=41,https://picsum.photos/800/600?random=42,https://picsum.photos/800/600?random=43"
"Premium House in Rama 9 42",12772552,"Krabi, Thailand","Great investment opportunity",3,4,70,CONDO,SOLD,"ADDRESS_ID_2","https://picsum.photos/800/600?random=42,https://picsum.photos/800/600?random=43,https://picsum.photos/800/600?random=44"
"Stylish Loft in Ekkamai 43",16756251,"Krabi, Thailand","Perfect for families and professionals",5,3,189,APARTMENT,RENTED,"ADDRESS_ID_3","https://picsum.photos/800/600?random=43,https://picsum.photos/800/600?random=44,https://picsum.photos/800/600?random=45"
"Elegant Townhouse in Chatuchak 44",18074876,"Kanchanaburi, Thailand","Peaceful neighborhood with easy access",1,3,71,VILLA,PENDING,"ADDRESS_ID_4","https://picsum.photos/800/600?random=44,https://picsum.photos/800/600?random=45,https://picsum.photos/800/600?random=46"
"Family Home in Phra Khanong 45",35756742,"Bangkok, Thailand","Prime location with excellent facilities",2,2,266,HOUSE,RENTED,"ADDRESS_ID_5","https://picsum.photos/800/600?random=45,https://picsum.photos/800/600?random=46,https://picsum.photos/800/600?random=47"
"Premium Penthouse in Sathorn 46",47311702,"Krabi, Thailand","Modern design with premium features",3,3,230,TOWNHOUSE,AVAILABLE,"ADDRESS_ID_6","https://picsum.photos/800/600?random=46,https://picsum.photos/800/600?random=47,https://picsum.photos/800/600?random=48"
"Stylish Loft in Ekkamai 47",4496169,"Krabi, Thailand","Spacious and well-maintained property",1,3,59,APARTMENT,RENTED,"ADDRESS_ID_7","https://picsum.photos/800/600?random=47,https://picsum.photos/800/600?random=48,https://picsum.photos/800/600?random=49"
"Stylish Loft in Ekkamai 48",46662054,"Chiang Mai, Thailand","Convenient location near public transport",5,3,283,VILLA,PENDING,"ADDRESS_ID_8","https://picsum.photos/800/600?random=48,https://picsum.photos/800/600?random=49,https://picsum.photos/800/600?random=50"
"Spacious House in Bangna 49",7738129,"Phuket, Thailand","Great investment opportunity",5,2,62,CONDO,AVAILABLE,"ADDRESS_ID_9","https://picsum.photos/800/600?random=49,https://picsum.photos/800/600?random=50,https://picsum.photos/800/600?random=51"
"Contemporary Villa in Nonthaburi 50",32325304,"Hua Hin, Thailand","Perfect for families and professionals",2,2,279,CONDO,AVAILABLE,"ADDRESS_ID_10","https://picsum.photos/800/600?random=50,https://picsum.photos/800/600?random=51,https://picsum.photos/800/600?random=52"
"Charming House in Ari 51",37772353,"Chiang Mai, Thailand","Perfect for families and professionals",3,2,92,CONDO,SOLD,"ADDRESS_ID_11","https://picsum.photos/800/600?random=51,https://picsum.photos/800/600?random=52,https://picsum.photos/800/600?random=53"
"Charming House in Ari 52",1200448,"Hua Hin, Thailand","Convenient location near public transport",2,3,134,VILLA,RENTED,"ADDRESS_ID_12","https://picsum.photos/800/600?random=52,https://picsum.photos/800/600?random=53,https://picsum.photos/800/600?random=54"
"Modern Apartment in Huai Khwang 53",27274094,"Phuket, Thailand","Spacious and well-maintained property",5,3,282,HOUSE,RENTED,"ADDRESS_ID_13","https://picsum.photos/800/600?random=53,https://picsum.photos/800/600?random=54,https://picsum.photos/800/600?random=55"
"Stylish Condo in Thonburi 54",23769739,"Krabi, Thailand","Convenient location near public transport",3,2,83,APARTMENT,SOLD,"ADDRESS_ID_14","https://picsum.photos/800/600?random=54,https://picsum.photos/800/600?random=55,https://picsum.photos/800/600?random=56"
"Modern Apartment in Silom 55",19323445,"Ayutthaya, Thailand","Beautiful property with modern amenities",5,2,250,VILLA,SOLD,"ADDRESS_ID_15","https://picsum.photos/800/600?random=55,https://picsum.photos/800/600?random=56,https://picsum.photos/800/600?random=57"
"Spacious House in Bangna 56",25833108,"Bangkok, Thailand","Prime location with excellent facilities",3,4,258,HOUSE,AVAILABLE,"ADDRESS_ID_16","https://picsum.photos/800/600?random=56,https://picsum.photos/800/600?random=57,https://picsum.photos/800/600?random=58"
"Contemporary Apartment in Phrom Phong 57",16632254,"Hua Hin, Thailand","Perfect for families and professionals",5,4,69,TOWNHOUSE,AVAILABLE,"ADDRESS_ID_17","https://picsum.photos/800/600?random=57,https://picsum.photos/800/600?random=58,https://picsum.photos/800/600?random=59"
"Spacious Villa in Lat Phrao 58",43022179,"Pattaya, Thailand","Beautiful property with modern amenities",1,1,194,CONDO,RENTED,"ADDRESS_ID_18","https://picsum.photos/800/600?random=58,https://picsum.photos/800/600?random=59,https://picsum.photos/800/600?random=60"
"Contemporary Apartment in Phrom Phong 59",15563622,"Krabi, Thailand","Prime location with excellent facilities",1,2,90,VILLA,SOLD,"ADDRESS_ID_19","https://picsum.photos/800/600?random=59,https://picsum.photos/800/600?random=60,https://picsum.photos/800/600?random=61"
"Spacious Villa in Lat Phrao 60",7515944,"Ayutthaya, Thailand","Modern design with premium features",2,1,47,TOWNHOUSE,SOLD,"ADDRESS_ID_20","https://picsum.photos/800/600?random=60,https://picsum.photos/800/600?random=61,https://picsum.photos/800/600?random=62"
"Stylish Condo in Thonburi 61",36348735,"Chiang Mai, Thailand","Modern design with premium features",1,2,94,CONDO,SOLD,"ADDRESS_ID_1","https://picsum.photos/800/600?random=61,https://picsum.photos/800/600?random=62,https://picsum.photos/800/600?random=63"
"Modern Condo in On Nut 62",8389058,"Bangkok, Thailand","Peaceful neighborhood with easy access",4,2,222,APARTMENT,AVAILABLE,"ADDRESS_ID_2","https://picsum.photos/800/600?random=62,https://picsum.photos/800/600?random=63,https://picsum.photos/800/600?random=64"
"Luxury Penthouse in Pathumwan 63",37476130,"Phuket, Thailand","Recently renovated with high-quality finishes",3,2,211,VILLA,RENTED,"ADDRESS_ID_3","https://picsum.photos/800/600?random=63,https://picsum.photos/800/600?random=64,https://picsum.photos/800/600?random=65"
"Cozy Apartment in Victory Monument 64",37863980,"Ayutthaya, Thailand","Spacious and well-maintained property",2,3,193,VILLA,RENTED,"ADDRESS_ID_4","https://picsum.photos/800/600?random=64,https://picsum.photos/800/600?random=65,https://picsum.photos/800/600?random=66"
"Cozy Apartment in Victory Monument 65",21476871,"Krabi, Thailand","Spacious and well-maintained property",1,4,191,TOWNHOUSE,AVAILABLE,"ADDRESS_ID_5","https://picsum.photos/800/600?random=65,https://picsum.photos/800/600?random=66,https://picsum.photos/800/600?random=67"
"Elegant Townhouse in Chatuchak 66",9598116,"Bangkok, Thailand","Spacious and well-maintained property",5,3,101,TOWNHOUSE,SOLD,"ADDRESS_ID_6","https://picsum.photos/800/600?random=66,https://picsum.photos/800/600?random=67,https://picsum.photos/800/600?random=68"
"Luxury Apartment in Ratchada 67",32180329,"Chiang Mai, Thailand","Modern design with premium features",5,4,134,APARTMENT,SOLD,"ADDRESS_ID_7","https://picsum.photos/800/600?random=67,https://picsum.photos/800/600?random=68,https://picsum.photos/800/600?random=69"
"Modern Condo in On Nut 68",35251375,"Chiang Mai, Thailand","Convenient location near public transport",4,1,225,CONDO,RENTED,"ADDRESS_ID_8","https://picsum.photos/800/600?random=68,https://picsum.photos/800/600?random=69,https://picsum.photos/800/600?random=70"
"Stylish Loft in Ekkamai 69",47422400,"Ayutthaya, Thailand","Great investment opportunity",4,1,70,CONDO,AVAILABLE,"ADDRESS_ID_9","https://picsum.photos/800/600?random=69,https://picsum.photos/800/600?random=70,https://picsum.photos/800/600?random=71"
"Modern Apartment in Huai Khwang 70",30292956,"Hua Hin, Thailand","Perfect for families and professionals",5,3,154,TOWNHOUSE,RENTED,"ADDRESS_ID_10","https://picsum.photos/800/600?random=70,https://picsum.photos/800/600?random=71,https://picsum.photos/800/600?random=72"
"Stylish Loft in Ekkamai 71",11265329,"Chiang Mai, Thailand","Modern design with premium features",1,2,127,HOUSE,AVAILABLE,"ADDRESS_ID_11","https://picsum.photos/800/600?random=71,https://picsum.photos/800/600?random=72,https://picsum.photos/800/600?random=73"
"Charming House in Ari 72",18842659,"Bangkok, Thailand","Perfect for families and professionals",2,2,152,APARTMENT,SOLD,"ADDRESS_ID_12","https://picsum.photos/800/600?random=72,https://picsum.photos/800/600?random=73,https://picsum.photos/800/600?random=74"
"Luxury Condominium in Sukhumvit 73",47984316,"Bangkok, Thailand","Prime location with excellent facilities",3,4,210,APARTMENT,PENDING,"ADDRESS_ID_13","https://picsum.photos/800/600?random=73,https://picsum.photos/800/600?random=74,https://picsum.photos/800/600?random=75"
"Modern Apartment in Silom 74",19868673,"Kanchanaburi, Thailand","Beautiful property with modern amenities",5,2,272,APARTMENT,AVAILABLE,"ADDRESS_ID_14","https://picsum.photos/800/600?random=74,https://picsum.photos/800/600?random=75,https://picsum.photos/800/600?random=76"
"Charming House in Ari 75",36781599,"Ayutthaya, Thailand","Recently renovated with high-quality finishes",4,1,299,APARTMENT,PENDING,"ADDRESS_ID_15","https://picsum.photos/800/600?random=75,https://picsum.photos/800/600?random=76,https://picsum.photos/800/600?random=77"
"Premium Penthouse in Sathorn 76",9522198,"Krabi, Thailand","Convenient location near public transport",5,3,113,TOWNHOUSE,SOLD,"ADDRESS_ID_16","https://picsum.photos/800/600?random=76,https://picsum.photos/800/600?random=77,https://picsum.photos/800/600?random=78"
"Cozy Apartment in Victory Monument 77",2684127,"Hua Hin, Thailand","Beautiful property with modern amenities",4,2,120,HOUSE,AVAILABLE,"ADDRESS_ID_17","https://picsum.photos/800/600?random=77,https://picsum.photos/800/600?random=78,https://picsum.photos/800/600?random=79"
"Modern Condo in On Nut 78",26440497,"Bangkok, Thailand","Beautiful property with modern amenities",4,2,208,HOUSE,RENTED,"ADDRESS_ID_18","https://picsum.photos/800/600?random=78,https://picsum.photos/800/600?random=79,https://picsum.photos/800/600?random=80"
"Contemporary Apartment in Phrom Phong 79",41729113,"Chiang Mai, Thailand","Spacious and well-maintained property",1,1,48,CONDO,RENTED,"ADDRESS_ID_19","https://picsum.photos/800/600?random=79,https://picsum.photos/800/600?random=80,https://picsum.photos/800/600?random=81"
"Stylish Condo in Thonburi 80",25947745,"Bangkok, Thailand","Peaceful neighborhood with easy access",2,1,202,HOUSE,AVAILABLE,"ADDRESS_ID_20","https://picsum.photos/800/600?random=80,https://picsum.photos/800/600?random=81,https://picsum.photos/800/600?random=82"
"Spacious Villa in Lat Phrao 81",9723765,"Ayutthaya, Thailand","Great investment opportunity",2,2,271,VILLA,PENDING,"ADDRESS_ID_1","https://picsum.photos/800/600?random=81,https://picsum.photos/800/600?random=82,https://picsum.photos/800/600?random=83"
"Premium House in Rama 9 82",5736321,"Bangkok, Thailand","Convenient location near public transport",1,3,79,HOUSE,SOLD,"ADDRESS_ID_2","https://picsum.photos/800/600?random=82,https://picsum.photos/800/600?random=83,https://picsum.photos/800/600?random=84"
"Spacious Villa in Lat Phrao 83",20487338,"Krabi, Thailand","Peaceful neighborhood with easy access",4,1,223,CONDO,RENTED,"ADDRESS_ID_3","https://picsum.photos/800/600?random=83,https://picsum.photos/800/600?random=84,https://picsum.photos/800/600?random=85"
"Luxury Penthouse in Pathumwan 84",49975022,"Pattaya, Thailand","Prime location with excellent facilities",2,3,253,HOUSE,SOLD,"ADDRESS_ID_4","https://picsum.photos/800/600?random=84,https://picsum.photos/800/600?random=85,https://picsum.photos/800/600?random=86"
"Cozy Apartment in Victory Monument 85",5310574,"Kanchanaburi, Thailand","Perfect for families and professionals",4,3,266,HOUSE,RENTED,"ADDRESS_ID_5","https://picsum.photos/800/600?random=85,https://picsum.photos/800/600?random=86,https://picsum.photos/800/600?random=87"
"Modern Condo in On Nut 86",7648924,"Kanchanaburi, Thailand","Perfect for families and professionals",4,1,283,APARTMENT,PENDING,"ADDRESS_ID_6","https://picsum.photos/800/600?random=86,https://picsum.photos/800/600?random=87,https://picsum.photos/800/600?random=88"
"Charming House in Ari 87",12875483,"Kanchanaburi, Thailand","Great investment opportunity",4,2,118,HOUSE,SOLD,"ADDRESS_ID_7","https://picsum.photos/800/600?random=87,https://picsum.photos/800/600?random=88,https://picsum.photos/800/600?random=89"
"Stylish Loft in Ekkamai 88",40384601,"Chiang Mai, Thailand","Beautiful property with modern amenities",4,2,237,HOUSE,SOLD,"ADDRESS_ID_8","https://picsum.photos/800/600?random=88,https://picsum.photos/800/600?random=89,https://picsum.photos/800/600?random=90"
"Elegant Villa in Thonglor 89",19526603,"Hua Hin, Thailand","Beautiful property with modern amenities",1,2,291,TOWNHOUSE,SOLD,"ADDRESS_ID_9","https://picsum.photos/800/600?random=89,https://picsum.photos/800/600?random=90,https://picsum.photos/800/600?random=91"
"Luxury Apartment in Ratchada 90",22651144,"Bangkok, Thailand","Prime location with excellent facilities",1,2,35,CONDO,SOLD,"ADDRESS_ID_10","https://picsum.photos/800/600?random=90,https://picsum.photos/800/600?random=91,https://picsum.photos/800/600?random=92"
"Elegant Villa in Thonglor 91",13684467,"Bangkok, Thailand","Peaceful neighborhood with easy access",2,4,226,CONDO,PENDING,"ADDRESS_ID_11","https://picsum.photos/800/600?random=91,https://picsum.photos/800/600?random=92,https://picsum.photos/800/600?random=93"
"Cozy Apartment in Victory Monument 92",46524256,"Kanchanaburi, Thailand","Luxury property with stunning views",2,2,175,VILLA,RENTED,"ADDRESS_ID_12","https://picsum.photos/800/600?random=92,https://picsum.photos/800/600?random=93,https://picsum.photos/800/600?random=94"
"Cozy Studio in Asoke 93",33618244,"Bangkok, Thailand","Convenient location near public transport",4,1,50,HOUSE,PENDING,"ADDRESS_ID_13","https://picsum.photos/800/600?random=93,https://picsum.photos/800/600?random=94,https://picsum.photos/800/600?random=95"
"Stylish Loft in Ekkamai 94",20602456,"Ayutthaya, Thailand","Luxury property with stunning views",1,2,177,CONDO,RENTED,"ADDRESS_ID_14","https://picsum.photos/800/600?random=94,https://picsum.photos/800/600?random=95,https://picsum.photos/800/600?random=96"
"Elegant Villa in Thonglor 95",7718254,"Krabi, Thailand","Convenient location near public transport",1,2,227,CONDO,AVAILABLE,"ADDRESS_ID_15","https://picsum.photos/800/600?random=95,https://picsum.photos/800/600?random=96,https://picsum.photos/800/600?random=97"
"Premium Penthouse in Sathorn 96",5625212,"Phuket, Thailand","Perfect for families and professionals",5,2,109,VILLA,AVAILABLE,"ADDRESS_ID_16","https://picsum.photos/800/600?random=96,https://picsum.photos/800/600?random=97,https://picsum.photos/800/600?random=98"
"Contemporary Villa in Nonthaburi 97",29226655,"Chiang Mai, Thailand","Convenient location near public transport",4,3,267,CONDO,PENDING,"ADDRESS_ID_17","https://picsum.photos/800/600?random=97,https://picsum.photos/800/600?random=98,https://picsum.photos/800/600?random=99"
"Charming House in Ari 98",22255472,"Pattaya, Thailand","Modern design with premium features",5,2,203,TOWNHOUSE,AVAILABLE,"ADDRESS_ID_18","https://picsum.photos/800/600?random=98,https://picsum.photos/800/600?random=99,https://picsum.photos/800/600?random=100"
"Contemporary Apartment in Phrom Phong 99",23880198,"Ayutthaya, Thailand","Luxury property with stunning views",3,4,201,APARTMENT,PENDING,"ADDRESS_ID_19","https://picsum.photos/800/600?random=99,https://picsum.photos/800/600?random=100,https://picsum.photos/800/600?random=101"
"Spacious Villa in Lat Phrao 100",2424470,"Krabi, Thailand","Modern design with premium features",2,4,141,VILLA,AVAILABLE,"ADDRESS_ID_20","https://picsum.photos/800/600?random=100,https://picsum.photos/800/600?random=101,https://picsum.photos/800/600?random=102"
