id,title,address,price,bedrooms,bathrooms,rooms,location
1,Luxury Condominium at The Grand,897 Sukhumvit Road, Sukhumvit, Bangkok 10110, Thailand,20794492,1,1,5,Sukhumvit, Bangkok, Thailand
75,Executive Condo at Platinum Plaza,451 Central Avenue, My Khe, Da Nang 550000, Vietnam,8815878,3,4,8,My Khe, Da Nang, Vietnam
76,Waterfront Residence at The Grand,270 Sukhumvit Road, Ngu Hanh Son, Da Nang 550000, Vietnam,6037335,4,5,11,Ngu Hanh Son, Da Nang, Vietnam
77,Sky Villa at Sky Tower,250 Silom Road, Hai Chau, Da Nang 550000, Vietnam,8686806,1,1,4,Hai Chau, Da Nang, Vietnam
78,Garden View Unit at Riverside Residences,693 Sathorn Road, Riverside, Phnom Penh 12000, Cambodia,7434340,2,2,7,Riverside, Phnom Penh, Cambodia
79,Townhouse at Central Park,650 Ratchadamri Road, BKK1, Phnom Penh 12000, Cambodia,7206103,3,4,9,BKK1, Phnom Penh, Cambodia
80,Luxury Villa at Ocean View,854 Wireless Road, Toul Kork, Phnom Penh 12150, Cambodia,5467285,4,5,10,Toul Kork, Phnom Penh, Cambodia
81,Luxury Condominium at Metro Heights,760 Ploenchit Road, Old Market, Siem Reap 17252, Cambodia,5080924,1,1,3,Old Market, Siem Reap, Cambodia
82,Modern Apartment at Garden Plaza,331 Rama IV Road, Airport Road, Siem Reap 17252, Cambodia,9075413,2,2,6,Airport Road, Siem Reap, Cambodia
83,Studio Unit at Crystal Tower,993 Charoen Krung Road, Downtown, Yangon 11181, Myanmar,7796900,3,4,8,Downtown, Yangon, Myanmar
84,Penthouse Suite at Sunset Residences,864 Thanon Phra Athit, Bahan, Yangon 11181, Myanmar,9180464,4,5,11,Bahan, Yangon, Myanmar
85,Executive Condo at Prime Location,442 Soi Thong Lo, Mayangone, Yangon 11061, Myanmar,7297026,1,1,4,Mayangone, Yangon, Myanmar
86,Waterfront Residence at Royal Residence,252 Main Street, Chanthabouly, Vientiane 01000, Laos,7522350,2,2,6,Chanthabouly, Vientiane, Laos
87,Sky Villa at Elite Tower,147 Beach Road, Sisattanak, Vientiane 01000, Laos,5664500,3,4,8,Sisattanak, Vientiane, Laos
88,Garden View Unit at Paradise Condo,775 Park Avenue, Old Town, Luang Prabang 06000, Laos,7176270,4,5,11,Old Town, Luang Prabang, Laos
89,Townhouse at Golden Heights,374 Riverside Drive, Shibuya, Tokyo 150-0001, Japan,11535148,1,1,5,Shibuya, Tokyo, Japan
90,Luxury Villa at Platinum Plaza,885 Central Avenue, Shinjuku, Tokyo 160-0022, Japan,10294934,2,2,7,Shinjuku, Tokyo, Japan
91,Luxury Condominium at The Grand,66 Sukhumvit Road, Ginza, Tokyo 104-0061, Japan,14846423,3,4,8,Ginza, Tokyo, Japan
92,Modern Apartment at Sky Tower,445 Silom Road, Roppongi, Tokyo 106-0032, Japan,16505905,4,5,11,Roppongi, Tokyo, Japan
93,Studio Unit at Riverside Residences,989 Sathorn Road, Omotesando, Tokyo 150-0001, Japan,15040421,1,1,5,Omotesando, Tokyo, Japan
94,Penthouse Suite at Central Park,238 Ratchadamri Road, Namba, Osaka 542-0076, Japan,15677588,2,2,6,Namba, Osaka, Japan
95,Executive Condo at Ocean View,597 Wireless Road, Umeda, Osaka 530-0001, Japan,17682973,3,4,9,Umeda, Osaka, Japan
96,Waterfront Residence at Metro Heights,450 Ploenchit Road, Shinsaibashi, Osaka 542-0085, Japan,11267910,4,5,11,Shinsaibashi, Osaka, Japan
97,Sky Villa at Garden Plaza,800 Rama IV Road, Gangnam, Seoul 06000, South Korea,12656798,1,1,3,Gangnam, Seoul, South Korea
98,Garden View Unit at Crystal Tower,328 Charoen Krung Road, Itaewon, Seoul 04348, South Korea,9206398,2,2,7,Itaewon, Seoul, South Korea
99,Townhouse at Sunset Residences,243 Thanon Phra Athit, Myeongdong, Seoul 04536, South Korea,7317156,3,4,10,Myeongdong, Seoul, South Korea
100,Luxury Villa at Prime Location,838 Soi Thong Lo, Hongdae, Seoul 04066, South Korea,5237007,4,5,10,Hongdae, Seoul, South Korea
101,Luxury Condominium at Royal Residence,149 Main Street, Sukhumvit, Bangkok 10110, Thailand,16412850,1,1,4,Sukhumvit, Bangkok, Thailand
102,Modern Apartment at Elite Tower,825 Beach Road, Sathorn, Bangkok 10120, Thailand,22835342,2,2,5,Sathorn, Bangkok, Thailand
103,Studio Unit at Paradise Condo,474 Park Avenue, Silom, Bangkok 10500, Thailand,20017005,3,4,9,Silom, Bangkok, Thailand
104,Penthouse Suite at Golden Heights,4 Riverside Drive, Phrom Phong, Bangkok 10110, Thailand,13905821,4,5,11,Phrom Phong, Bangkok, Thailand
105,Executive Condo at Platinum Plaza,799 Central Avenue, Thong Lo, Bangkok 10110, Thailand,10648857,1,1,3,Thong Lo, Bangkok, Thailand
106,Waterfront Residence at The Grand,297 Sukhumvit Road, Ekkamai, Bangkok 10110, Thailand,9221642,2,2,6,Ekkamai, Bangkok, Thailand
107,Sky Villa at Sky Tower,144 Silom Road, Asok, Bangkok 10110, Thailand,9382279,3,4,10,Asok, Bangkok, Thailand
108,Garden View Unit at Riverside Residences,559 Sathorn Road, Chidlom, Bangkok 10330, Thailand,24755047,4,5,10,Chidlom, Bangkok, Thailand
109,Townhouse at Central Park,344 Ratchadamri Road, Lumpini, Bangkok 10330, Thailand,24008739,1,1,3,Lumpini, Bangkok, Thailand
110,Luxury Villa at Ocean View,314 Wireless Road, Riverside, Bangkok 10500, Thailand,11442659,2,2,6,Riverside, Bangkok, Thailand
111,Luxury Condominium at Metro Heights,589 Ploenchit Road, Old City, Chiang Mai 50200, Thailand,7132176,3,4,9,Old City, Chiang Mai, Thailand
112,Modern Apartment at Garden Plaza,855 Rama IV Road, Nimman, Chiang Mai 50200, Thailand,9443069,4,5,12,Nimman, Chiang Mai, Thailand
113,Studio Unit at Crystal Tower,708 Charoen Krung Road, Airport, Chiang Mai 50100, Thailand,9192107,1,1,5,Airport, Chiang Mai, Thailand
114,Penthouse Suite at Sunset Residences,679 Thanon Phra Athit, Patong, Phuket 83150, Thailand,7691487,2,2,5,Patong, Phuket, Thailand
115,Executive Condo at Prime Location,700 Soi Thong Lo, Kata, Phuket 83100, Thailand,8736023,3,4,9,Kata, Phuket, Thailand
116,Waterfront Residence at Royal Residence,500 Main Street, Karon, Phuket 83100, Thailand,5081509,4,5,12,Karon, Phuket, Thailand
117,Sky Villa at Elite Tower,129 Beach Road, Bang Tao, Phuket 83110, Thailand,6335785,1,1,3,Bang Tao, Phuket, Thailand
118,Garden View Unit at Paradise Condo,161 Park Avenue, Kamala, Phuket 83120, Thailand,8702203,2,2,7,Kamala, Phuket, Thailand
119,Townhouse at Golden Heights,570 Riverside Drive, North Pattaya, Chonburi 20150, Thailand,9794222,3,4,10,North Pattaya, Chonburi, Thailand
120,Luxury Villa at Platinum Plaza,447 Central Avenue, Central Pattaya, Chonburi 20150, Thailand,5820574,4,5,11,Central Pattaya, Chonburi, Thailand
121,Luxury Condominium at The Grand,679 Sukhumvit Road, Jomtien, Chonburi 20260, Thailand,9911506,1,1,5,Jomtien, Chonburi, Thailand
122,Modern Apartment at Sky Tower,235 Silom Road, Naklua, Chonburi 20150, Thailand,6726201,2,2,5,Naklua, Chonburi, Thailand
123,Studio Unit at Riverside Residences,422 Sathorn Road, Beach Road, Prachuap Khiri Khan 77110, Thailand,7753654,3,4,8,Beach Road, Prachuap Khiri Khan, Thailand
124,Penthouse Suite at Central Park,732 Ratchadamri Road, Market Village, Prachuap Khiri Khan 77110, Thailand,6258678,4,5,11,Market Village, Prachuap Khiri Khan, Thailand
125,Executive Condo at Ocean View,637 Wireless Road, Black Mountain, Prachuap Khiri Khan 77110, Thailand,7437739,1,1,5,Black Mountain, Prachuap Khiri Khan, Thailand
126,Waterfront Residence at Metro Heights,505 Ploenchit Road, Bang Na, Bangkok 10260, Thailand,12896687,2,2,6,Bang Na, Bangkok, Thailand
127,Sky Villa at Garden Plaza,686 Rama IV Road, On Nut, Bangkok 10250, Thailand,12289004,3,4,9,On Nut, Bangkok, Thailand
128,Garden View Unit at Crystal Tower,805 Charoen Krung Road, Bearing, Bangkok 10110, Thailand,11157391,4,5,10,Bearing, Bangkok, Thailand
129,Townhouse at Sunset Residences,598 Thanon Phra Athit, Udom Suk, Bangkok 10260, Thailand,11058261,1,1,3,Udom Suk, Bangkok, Thailand
130,Luxury Villa at Prime Location,92 Soi Thong Lo, Punnawithi, Bangkok 10110, Thailand,13770795,2,2,6,Punnawithi, Bangkok, Thailand
131,Luxury Condominium at Royal Residence,760 Main Street, Orchard, Singapore 238801, Singapore,1371610,3,4,9,Orchard, Singapore, Singapore
132,Modern Apartment at Elite Tower,490 Beach Road, Marina Bay, Singapore 018956, Singapore,1484190,4,5,10,Marina Bay, Singapore, Singapore
133,Studio Unit at Paradise Condo,758 Park Avenue, Sentosa, Singapore 099538, Singapore,1025381,1,1,4,Sentosa, Singapore, Singapore
134,Penthouse Suite at Golden Heights,496 Riverside Drive, Clarke Quay, Singapore 059817, Singapore,957137,2,2,5,Clarke Quay, Singapore, Singapore
135,Executive Condo at Platinum Plaza,227 Central Avenue, Robertson Quay, Singapore 238801, Singapore,1143534,3,4,9,Robertson Quay, Singapore, Singapore
136,Waterfront Residence at The Grand,34 Sukhumvit Road, River Valley, Singapore 238801, Singapore,1432559,4,5,12,River Valley, Singapore, Singapore
137,Sky Villa at Sky Tower,604 Silom Road, Newton, Singapore 307683, Singapore,1859726,1,1,3,Newton, Singapore, Singapore
138,Garden View Unit at Riverside Residences,987 Sathorn Road, Novena, Singapore 307683, Singapore,1555387,2,2,5,Novena, Singapore, Singapore
139,Townhouse at Central Park,820 Ratchadamri Road, Harbourfront, Singapore 099538, Singapore,836838,3,4,8,Harbourfront, Singapore, Singapore
140,Luxury Villa at Ocean View,590 Wireless Road, East Coast, Singapore 428795, Singapore,997633,4,5,11,East Coast, Singapore, Singapore
141,Luxury Condominium at Metro Heights,708 Ploenchit Road, KLCC, Kuala Lumpur 50088, Malaysia,1066599,1,1,5,KLCC, Kuala Lumpur, Malaysia
142,Modern Apartment at Garden Plaza,189 Rama IV Road, Bukit Bintang, Kuala Lumpur 50250, Malaysia,1170772,2,2,7,Bukit Bintang, Kuala Lumpur, Malaysia
143,Studio Unit at Crystal Tower,366 Charoen Krung Road, Mont Kiara, Kuala Lumpur 50480, Malaysia,1602476,3,4,10,Mont Kiara, Kuala Lumpur, Malaysia
144,Penthouse Suite at Sunset Residences,754 Thanon Phra Athit, Bangsar, Kuala Lumpur 59000, Malaysia,1960167,4,5,10,Bangsar, Kuala Lumpur, Malaysia
145,Executive Condo at Prime Location,998 Soi Thong Lo, KL Sentral, Kuala Lumpur 50470, Malaysia,1546662,1,1,5,KL Sentral, Kuala Lumpur, Malaysia
146,Waterfront Residence at Royal Residence,529 Main Street, Georgetown, Penang 10200, Malaysia,839230,2,2,5,Georgetown, Penang, Malaysia
147,Sky Villa at Elite Tower,866 Beach Road, Batu Ferringhi, Penang 11100, Malaysia,1164407,3,4,8,Batu Ferringhi, Penang, Malaysia
148,Garden View Unit at Paradise Condo,240 Park Avenue, Tanjung Bungah, Penang 11200, Malaysia,1618529,4,5,10,Tanjung Bungah, Penang, Malaysia
149,Townhouse at Golden Heights,241 Riverside Drive, Gurney Drive, Penang 10250, Malaysia,1608472,1,1,5,Gurney Drive, Penang, Malaysia
150,Luxury Villa at Platinum Plaza,547 Central Avenue, Bayan Lepas, Penang 11900, Malaysia,1249631,2,2,5,Bayan Lepas, Penang, Malaysia
151,Luxury Condominium at The Grand,571 Sukhumvit Road, Central Jakarta, Jakarta 10110, Indonesia,7928167,3,4,9,Central Jakarta, Jakarta, Indonesia
152,Modern Apartment at Sky Tower,609 Silom Road, South Jakarta, Jakarta 12190, Indonesia,5111275,4,5,12,South Jakarta, Jakarta, Indonesia
153,Studio Unit at Riverside Residences,827 Sathorn Road, North Jakarta, Jakarta 14450, Indonesia,6600444,1,1,4,North Jakarta, Jakarta, Indonesia
154,Penthouse Suite at Central Park,455 Ratchadamri Road, Sanur, Denpasar 80228, Indonesia,6196890,2,2,5,Sanur, Denpasar, Indonesia
155,Executive Condo at Ocean View,64 Wireless Road, Seminyak, Denpasar 80361, Indonesia,5802452,3,4,10,Seminyak, Denpasar, Indonesia
156,Waterfront Residence at Metro Heights,378 Ploenchit Road, Ubud, Denpasar 80571, Indonesia,5438301,4,5,10,Ubud, Denpasar, Indonesia
157,Sky Villa at Garden Plaza,197 Rama IV Road, Canggu, Denpasar 80351, Indonesia,6326273,1,1,5,Canggu, Denpasar, Indonesia
158,Garden View Unit at Crystal Tower,831 Charoen Krung Road, Nusa Dua, Denpasar 80363, Indonesia,9217536,2,2,6,Nusa Dua, Denpasar, Indonesia
159,Townhouse at Sunset Residences,855 Thanon Phra Athit, Makati, Manila 1200, Philippines,7534989,3,4,9,Makati, Manila, Philippines
160,Luxury Villa at Prime Location,861 Soi Thong Lo, BGC, Manila 1630, Philippines,7912389,4,5,11,BGC, Manila, Philippines
161,Luxury Condominium at Royal Residence,920 Main Street, Ortigas, Manila 1605, Philippines,6597089,1,1,5,Ortigas, Manila, Philippines
162,Modern Apartment at Elite Tower,457 Beach Road, Quezon City, Manila 1100, Philippines,6711470,2,2,7,Quezon City, Manila, Philippines
163,Studio Unit at Paradise Condo,654 Park Avenue, Alabang, Manila 1780, Philippines,9019475,3,4,8,Alabang, Manila, Philippines
164,Penthouse Suite at Golden Heights,520 Riverside Drive, Cebu City, Cebu 6000, Philippines,7724042,4,5,12,Cebu City, Cebu, Philippines
165,Executive Condo at Platinum Plaza,809 Central Avenue, IT Park, Cebu 6000, Philippines,8637209,1,1,5,IT Park, Cebu, Philippines
166,Waterfront Residence at The Grand,860 Sukhumvit Road, Ayala Center, Cebu 6000, Philippines,5414423,2,2,6,Ayala Center, Cebu, Philippines
167,Sky Villa at Sky Tower,42 Silom Road, District 1, Ho Chi Minh City 700000, Vietnam,7246736,3,4,9,District 1, Ho Chi Minh City, Vietnam
168,Garden View Unit at Riverside Residences,455 Sathorn Road, District 2, Ho Chi Minh City 700000, Vietnam,6345590,4,5,12,District 2, Ho Chi Minh City, Vietnam
169,Townhouse at Central Park,594 Ratchadamri Road, District 3, Ho Chi Minh City 700000, Vietnam,7148620,1,1,4,District 3, Ho Chi Minh City, Vietnam
170,Luxury Villa at Ocean View,445 Wireless Road, District 7, Ho Chi Minh City 700000, Vietnam,6295180,2,2,5,District 7, Ho Chi Minh City, Vietnam
171,Luxury Condominium at Metro Heights,997 Ploenchit Road, Hoan Kiem, Hanoi 100000, Vietnam,8470289,3,4,10,Hoan Kiem, Hanoi, Vietnam
172,Modern Apartment at Garden Plaza,832 Rama IV Road, Ba Dinh, Hanoi 100000, Vietnam,6147179,4,5,10,Ba Dinh, Hanoi, Vietnam
173,Studio Unit at Crystal Tower,630 Charoen Krung Road, Tay Ho, Hanoi 100000, Vietnam,9306706,1,1,4,Tay Ho, Hanoi, Vietnam
174,Penthouse Suite at Sunset Residences,16 Thanon Phra Athit, Cau Giay, Hanoi 100000, Vietnam,6506757,2,2,7,Cau Giay, Hanoi, Vietnam
175,Executive Condo at Prime Location,7 Soi Thong Lo, My Khe, Da Nang 550000, Vietnam,8655477,3,4,9,My Khe, Da Nang, Vietnam
176,Waterfront Residence at Royal Residence,946 Main Street, Ngu Hanh Son, Da Nang 550000, Vietnam,9466280,4,5,10,Ngu Hanh Son, Da Nang, Vietnam
177,Sky Villa at Elite Tower,326 Beach Road, Hai Chau, Da Nang 550000, Vietnam,7079207,1,1,5,Hai Chau, Da Nang, Vietnam
178,Garden View Unit at Paradise Condo,770 Park Avenue, Riverside, Phnom Penh 12000, Cambodia,6560049,2,2,7,Riverside, Phnom Penh, Cambodia
179,Townhouse at Golden Heights,43 Riverside Drive, BKK1, Phnom Penh 12000, Cambodia,9148137,3,4,10,BKK1, Phnom Penh, Cambodia
180,Luxury Villa at Platinum Plaza,246 Central Avenue, Toul Kork, Phnom Penh 12150, Cambodia,7966349,4,5,10,Toul Kork, Phnom Penh, Cambodia
181,Luxury Condominium at The Grand,956 Sukhumvit Road, Old Market, Siem Reap 17252, Cambodia,9030967,1,1,3,Old Market, Siem Reap, Cambodia
182,Modern Apartment at Sky Tower,107 Silom Road, Airport Road, Siem Reap 17252, Cambodia,7591994,2,2,5,Airport Road, Siem Reap, Cambodia
183,Studio Unit at Riverside Residences,975 Sathorn Road, Downtown, Yangon 11181, Myanmar,5036154,3,4,9,Downtown, Yangon, Myanmar
